Item,price,lowest competitive price,Day,Hour,Temperature,weather,Is busy,Adjusted price
Aloo,16.0,7.95,1,-1.5280208271520486,-1.1108952912048626,1,0,7.95
Aloo Gobi,16.0,7.5,6,-0.9568917311017746,0.7946906127051714,1,0,7.5
Aloo Tikki,6.0,5.99,4,-0.6713271830766376,0.8740900253680894,1,0,5.99
Alu Baingan,16.0,12.95,0,-0.38576263505150066,-0.07870292658692755,0,0,12.95
Alu Paratha,8.95,7.45,2,-0.10019808702636367,0.7152912000422532,0,0,7.45
Avial,14.95,7.95,3,0.18536646099877332,0.9534894380310075,0,0,7.95
B.B.B Bishibila Bath,12.95,8.95,1,0.47093100902391033,0.8740900253680894,0,1,8.95
Baigan Bharta,16.0,12.95,6,1.0420601050741842,-0.07870292658692755,1,1,12.95
Batata Vada,6.45,5.0,4,1.3276246530993212,-1.1108952912048626,1,1,6.45
Bhel Puri,8.95,3.95,0,1.6131892011244582,-0.7932976405531903,1,0,3.95
Bhindi Masala,16.0,11.95,2,-1.5280208271520486,-0.6344988152273541,1,0,11.95
Butter Masala Dosa,13.75,6.5,3,-1.2424562791269116,-0.47569998990151796,0,0,6.5
Butter Sada Dosa,11.95,5.95,1,-0.9568917311017746,0.7152912000422532,0,0,5.95
Channa Chat,8.95,5.99,6,-0.38576263505150066,-0.07870292658692755,0,0,5.99
Cheese Masala Dosa,13.75,7.95,4,-0.10019808702636367,1.5092853266714341,1,0,7.95
Cheese Onion Chili Masala Dosa,14.95,8.95,2,0.47093100902391033,-0.07870292658692755,1,1,8.95
Cheese Onion Rava Masala Dosa,16.0,14.2,3,0.7564955570490474,-1.2696941165306987,1,1,16.0
Cheese Pondicherry,14.95,9.95,1,1.0420601050741842,-1.1108952912048626,1,1,14.95
Chilly Pakora,6.0,3.95,6,1.6131892011244582,1.1122882633568436,1,0,3.95
Chilly Paneer Dry,13.75,10.95,4,-1.5280208271520486,1.5092853266714341,1,0,10.95
Chinese Dosa,14.95,8.5,0,-1.2424562791269116,0.7152912000422532,1,0,8.5
Chocolate Dosa,13.75,8.99,2,-0.9568917311017746,-1.4284929418565349,2,0,8.99
Chole Bature,16.0,14.99,3,-0.6713271830766376,-1.2696941165306987,2,0,14.99
Chole Poori,16.0,13.0,1,-0.38576263505150066,0.0006964860759905293,0,0,13.0
Coconut Rice,12.95,6.95,6,0.47093100902391033,0.7152912000422532,0,1,6.95
Combo,5.99,3.5,4,0.7564955570490474,-1.2696941165306987,2,1,5.99
Dahi Vada,8.95,3.95,0,1.0420601050741842,-1.5078923545194531,2,1,8.95
Dum Biryani,14.95,8.95,2,1.3276246530993212,-0.8726970532161084,1,1,14.95
Garden Salad,7.45,4.75,3,1.6131892011244582,0.0006964860759905293,1,0,4.75
Garden Soup,7.45,6.95,1,-1.2424562791269116,0.7152912000422532,1,0,6.95
Ghee Roast Masala,13.75,7.5,6,-0.6713271830766376,-1.6666911798452893,2,0,7.5
Gobi Manchurian Dry,12.95,8.99,4,-0.38576263505150066,-1.1902947038677807,2,0,8.99
Gobi Paratha,8.95,7.45,0,0.18536646099877332,2.303279453300615,0,0,7.45
Gulab Jamun,6.0,3.5,2,0.47093100902391033,1.5886847393343522,0,1,3.5
Gun Powder Masala Dosa,12.95,7.95,3,0.7564955570490474,0.39769354939058094,0,1,7.95
Gun Powder Uthappam,13.75,8.95,1,1.0420601050741842,-0.47569998990151796,1,1,13.75
Idly,7.45,3.5,6,1.6131892011244582,-0.07870292658692755,1,0,3.5
Idly in Sambar Bow,8.95,4.5,4,-1.5280208271520486,0.7152912000422532,1,0,4.5
Idly Rasam Bowl,8.95,4.5,0,-1.2424562791269116,1.7474835646601883,0,0,4.5
Kadai Paneer,16.0,7.5,2,-0.9568917311017746,-0.47569998990151796,0,0,7.5
Katchumbar Salad,7.45,6.95,3,-0.6713271830766376,0.47709296205349905,0,0,6.95
Kulfi Malai,6.0,3.5,1,-0.38576263505150066,-0.555099402564436,1,0,3.5
Lemon Rice,12.95,6.5,6,0.18536646099877332,-0.3963005772385999,1,0,6.5
Madras Coffee Hot,3.0,2.95,4,0.47093100902391033,-0.7138982278902722,1,1,3.0
Malai Kofta,16.0,12.95,2,1.0420601050741842,2.303279453300615,0,1,13.99
Masala Dosa,12.95,5.5,1,1.6131892011244582,-0.3169011645756818,0,1,5.5
Masala Tea Hot,2.95,1.95,5,-1.5280208271520486,0.7152912000422532,0,0,1.95
Medu Vada,6.0,3.5,6,-1.2424562791269116,-0.07870292658692755,1,0,3.5
Medu Vada in Rasam Bowl,6.99,4.5,4,-0.9568917311017746,0.0006964860759905293,1,0,4.5
